epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7954,1.64679,2.87904,1.38134,0.00676,0.95189,0.2636,0.1248,1.35118,3.44623,1.15316,0.000539324,0.000539324,0.000539324
2,52.3774,1.48159,2.04054,1.26833,0.95443,0.13786,0.52177,0.29699,1.39651,3.0085,1.17321,0.00109457,0.00109457,0.00109457
3,82.5278,1.49827,1.84803,1.29829,0.60229,0.39856,0.51496,0.26648,1.5072,2.60657,1.30984,0.00164814,0.00164814,0.00164814
4,116.353,1.51091,1.7453,1.29664,0.62291,0.58356,0.6168,0.35206,1.46363,1.82232,1.23401,0.00166128,0.00166128,0.00166128
5,150.05,1.48731,1.69665,1.31278,0.60072,0.70431,0.62454,0.34723,1.42893,1.60005,1.23349,0.00165684,0.00165684,0.00165684
6,179.147,1.47365,1.65666,1.31334,0.61453,0.6839,0.6936,0.38665,1.47948,1.39231,1.24869,0.00165114,0.00165114,0.00165114
7,208.564,1.49302,1.56351,1.28957,0.65553,0.69835,0.69256,0.36875,1.52407,1.3548,1.32625,0.0016442,0.0016442,0.0016442
8,239.083,1.45523,1.52831,1.26445,0.58113,0.79441,0.70013,0.37503,1.49069,1.37551,1.2744,0.00163602,0.00163602,0.00163602
9,274.457,1.4348,1.42566,1.27771,0.68032,0.73278,0.70369,0.40423,1.40279,1.25226,1.23315,0.00162661,0.00162661,0.00162661
10,305.001,1.44788,1.43109,1.27861,0.64379,0.72738,0.69521,0.31925,1.74289,1.29767,1.40661,0.001616,0.001616,0.001616
11,338.245,1.44692,1.40131,1.2864,0.63387,0.74555,0.72548,0.39242,1.47786,1.34377,1.24623,0.00160419,0.00160419,0.00160419
12,372.528,1.43885,1.37075,1.26614,0.71773,0.70647,0.75842,0.42549,1.48285,1.15658,1.26341,0.0015912,0.0015912,0.0015912
13,405.574,1.40279,1.28287,1.25679,0.65393,0.73263,0.72924,0.3888,1.58943,1.14023,1.29147,0.00157706,0.00157706,0.00157706
14,433.377,1.43506,1.3763,1.2861,0.68102,0.66205,0.76838,0.44461,1.39001,1.08846,1.19096,0.00156179,0.00156179,0.00156179
15,464.808,1.40673,1.30397,1.27231,0.74962,0.72834,0.7957,0.46002,1.38197,1.02666,1.21824,0.0015454,0.0015454,0.0015454
16,498.754,1.38795,1.23302,1.24393,0.75206,0.79836,0.82616,0.48226,1.34948,1.03554,1.18898,0.00152793,0.00152793,0.00152793
17,533.078,1.36181,1.16559,1.24259,0.73873,0.79754,0.7815,0.44168,1.4173,1.03932,1.22655,0.00150941,0.00150941,0.00150941
18,568.443,1.37021,1.23353,1.24131,0.75071,0.73671,0.77493,0.43915,1.36573,1.05218,1.20403,0.00148985,0.00148985,0.00148985
19,599.681,1.35789,1.1853,1.23501,0.69147,0.79909,0.7879,0.43483,1.44451,1.07009,1.22595,0.0014693,0.0014693,0.0014693
20,630.158,1.35614,1.17324,1.23526,0.69165,0.82179,0.79255,0.46025,1.36183,0.95211,1.1893,0.00144777,0.00144777,0.00144777
21,665.605,1.37788,1.16484,1.24272,0.66296,0.79552,0.73341,0.41466,1.43579,1.01441,1.21814,0.00142531,0.00142531,0.00142531
22,699.457,1.35154,1.15714,1.22178,0.66286,0.79524,0.76088,0.42639,1.4182,1.02752,1.23278,0.00140196,0.00140196,0.00140196
23,736.214,1.30463,1.13483,1.20937,0.79969,0.74008,0.80465,0.47732,1.31218,0.95083,1.18845,0.00137774,0.00137774,0.00137774
24,774.852,1.32754,1.12062,1.20676,0.75901,0.79063,0.78994,0.46056,1.31666,0.96788,1.18257,0.00135269,0.00135269,0.00135269
25,812.639,1.34574,1.14409,1.23082,0.76899,0.80366,0.83805,0.48118,1.43091,0.86247,1.23567,0.00132685,0.00132685,0.00132685
26,845.915,1.32283,1.07848,1.20169,0.77619,0.77532,0.80422,0.48196,1.33887,0.8957,1.18457,0.00130027,0.00130027,0.00130027
27,877.899,1.31495,1.07782,1.19313,0.69213,0.75812,0.78004,0.46952,1.33536,0.9001,1.18591,0.00127298,0.00127298,0.00127298
28,914.616,1.32029,1.10789,1.22481,0.76643,0.80974,0.83835,0.50602,1.31903,0.83682,1.15846,0.00124503,0.00124503,0.00124503
29,955.66,1.28229,1.05785,1.19577,0.72993,0.80825,0.8071,0.47118,1.38176,0.925,1.19929,0.00121645,0.00121645,0.00121645
30,992.851,1.29859,1.0559,1.19577,0.73229,0.86561,0.84693,0.49844,1.35129,0.84854,1.18838,0.0011873,0.0011873,0.0011873
31,1029.88,1.3179,1.04312,1.21503,0.73742,0.80637,0.82147,0.4512,1.5597,0.91701,1.28422,0.00115761,0.00115761,0.00115761
32,1068.37,1.30194,1.0023,1.19565,0.75598,0.82159,0.81428,0.47593,1.41509,0.8779,1.21866,0.00112744,0.00112744,0.00112744
33,1105.99,1.26257,1.02719,1.19006,0.73078,0.8108,0.80596,0.46737,1.40754,0.87431,1.20679,0.00109683,0.00109683,0.00109683
34,1136.48,1.27098,0.99852,1.18636,0.74745,0.81747,0.81532,0.47078,1.41842,0.87829,1.21791,0.00106582,0.00106582,0.00106582
35,1169.34,1.26158,1.00715,1.18578,0.75014,0.75473,0.81757,0.49677,1.31716,0.87472,1.16376,0.00103447,0.00103447,0.00103447
36,1205.47,1.2571,0.96805,1.18017,0.71986,0.78861,0.79659,0.47567,1.3469,1.04935,1.19594,0.00100282,0.00100282,0.00100282
37,1243.84,1.28631,1.01405,1.17132,0.77302,0.78512,0.82235,0.46638,1.40353,0.90238,1.20795,0.000970919,0.000970919,0.000970919
38,1274.65,1.257,0.96743,1.16901,0.71569,0.85256,0.78996,0.484,1.31808,0.90589,1.17264,0.000938823,0.000938823,0.000938823
39,1311.15,1.21784,0.92342,1.1554,0.80209,0.75867,0.81574,0.50206,1.33506,0.81847,1.17385,0.000906577,0.000906577,0.000906577
40,1350.47,1.24451,0.95366,1.1735,0.75023,0.78319,0.81277,0.45249,1.45203,0.83459,1.23139,0.000874231,0.000874231,0.000874231
41,1389.58,1.22674,0.92774,1.16406,0.74691,0.79882,0.823,0.48964,1.35879,0.83337,1.18958,0.000841835,0.000841835,0.000841835
42,1421.41,1.25583,0.9328,1.18337,0.77294,0.80375,0.82774,0.49403,1.3511,0.82883,1.19056,0.000809439,0.000809439,0.000809439
43,1453.34,1.23705,0.9391,1.16436,0.79865,0.78237,0.81963,0.49607,1.32385,0.80664,1.16037,0.000777093,0.000777093,0.000777093
44,1487.58,1.26686,0.944,1.18344,0.75041,0.85554,0.81644,0.48918,1.354,0.82954,1.19222,0.000744847,0.000744847,0.000744847
45,1524.07,1.20857,0.89451,1.15958,0.7678,0.75756,0.81553,0.50237,1.32321,0.8053,1.15911,0.000712751,0.000712751,0.000712751
46,1557.11,1.21275,0.86002,1.15993,0.77468,0.8099,0.82776,0.45304,1.50185,0.82499,1.25621,0.000680853,0.000680853,0.000680853
47,1594.58,1.21336,0.89083,1.14062,0.80315,0.80092,0.83704,0.51351,1.32487,0.82453,1.16927,0.000649204,0.000649204,0.000649204
